sample,fastq_1,fastq_2,strandedness
2691149+MEF_mock_FLAG-RIP_1,fastq/2691149_JCC478_Dec2023_MCOK_1_FLAG_RIP_S10_L001_R1_001.fastq.gz,fastq/2691149_JCC478_Dec2023_MCOK_1_FLAG_RIP_S10_L001_R2_001.fastq.gz,reverse
2691149+MEF_mock_FLAG-RIP_1,fastq/2691149_JCC478_Dec2023_MCOK_1_FLAG_RIP_S130_L001_R1_001.fastq.gz,fastq/2691149_JCC478_Dec2023_MCOK_1_FLAG_RIP_S130_L001_R2_001.fastq.gz,reverse
2691150+MEF_mock_FLAG-RIP_2,fastq/2691150_JCC478_Dec2023_MCOK_2_FLAG_RIP_S11_L001_R1_001.fastq.gz,fastq/2691150_JCC478_Dec2023_MCOK_2_FLAG_RIP_S11_L001_R2_001.fastq.gz,reverse
2691150+MEF_mock_FLAG-RIP_2,fastq/2691150_JCC478_Dec2023_MCOK_2_FLAG_RIP_S131_L001_R1_001.fastq.gz,fastq/2691150_JCC478_Dec2023_MCOK_2_FLAG_RIP_S131_L001_R2_001.fastq.gz,reverse
2691151+MEF_HSV-1_FLAG-RIP_1,fastq/2691151_JCC478_Dec2023_HSV-1_1_FALG_RIP_S12_L001_R1_001.fastq.gz,fastq/2691151_JCC478_Dec2023_HSV-1_1_FALG_RIP_S12_L001_R2_001.fastq.gz,reverse
2691151+MEF_HSV-1_FLAG-RIP_1,fastq/2691151_JCC478_Dec2023_HSV-1_1_FALG_RIP_S132_L001_R1_001.fastq.gz,fastq/2691151_JCC478_Dec2023_HSV-1_1_FALG_RIP_S132_L001_R2_001.fastq.gz,reverse
2691152+MEF_HSV-1_FLAG-RIP_2,fastq/2691152_JCC478_Dec2023_HSV-1_2_FALG_RIP_S13_L001_R1_001.fastq.gz,fastq/2691152_JCC478_Dec2023_HSV-1_2_FALG_RIP_S13_L001_R2_001.fastq.gz,reverse
2691152+MEF_HSV-1_FLAG-RIP_2,fastq/2691152_JCC478_Dec2023_HSV-1_2_FALG_RIP_S133_L001_R1_001.fastq.gz,fastq/2691152_JCC478_Dec2023_HSV-1_2_FALG_RIP_S133_L001_R2_001.fastq.gz,reverse
2691153+MEF_HSV-1_FLAG-RIP_3,fastq/2691153_JCC478_Dec2023_HSV-1_3_FALG_RIP_S14_L001_R1_001.fastq.gz,fastq/2691153_JCC478_Dec2023_HSV-1_3_FALG_RIP_S14_L001_R2_001.fastq.gz,reverse
2691153+MEF_HSV-1_FLAG-RIP_3,fastq/2691153_JCC478_Dec2023_HSV-1_3_FALG_RIP_S134_L001_R1_001.fastq.gz,fastq/2691153_JCC478_Dec2023_HSV-1_3_FALG_RIP_S134_L001_R2_001.fastq.gz,reverse
