sample,fastq_1,fastq_2,strandedness
3162323+HT-29_mock_Z22-RIP_1,fastq/3162323_JCC411_July2024_A1_MockZ22RIP-1_S107_L007_R1_001.fastq.gz,fastq/3162323_JCC411_July2024_A1_MockZ22RIP-1_S107_L007_R2_001.fastq.gz,reverse
3162323+HT-29_mock_Z22-RIP_1,fastq/3162323_JCC411_July2024_A1_MockZ22RIP-1_S107_L008_R1_001.fastq.gz,fastq/3162323_JCC411_July2024_A1_MockZ22RIP-1_S107_L008_R2_001.fastq.gz,reverse
3162323+HT-29_mock_Z22-RIP_1,fastq/3162323_JCC411_July2024_A1_MockZ22RIP-1_S32_L001_R1_001.fastq.gz,fastq/3162323_JCC411_July2024_A1_MockZ22RIP-1_S32_L001_R2_001.fastq.gz,reverse
3162323+HT-29_mock_Z22-RIP_1,fastq/3162323_JCC411_July2024_A1_MockZ22RIP-1_S32_L002_R1_001.fastq.gz,fastq/3162323_JCC411_July2024_A1_MockZ22RIP-1_S32_L002_R2_001.fastq.gz,reverse
3162324+HT-29_mock_Z22-RIP_2,fastq/3162324_JCC411_July2024_B1_MockZ22RIP-2_S1_L001_R1_001.fastq.gz,fastq/3162324_JCC411_July2024_B1_MockZ22RIP-2_S1_L001_R2_001.fastq.gz,reverse
3162324+HT-29_mock_Z22-RIP_2,fastq/3162324_JCC411_July2024_B1_MockZ22RIP-2_S1_L002_R1_001.fastq.gz,fastq/3162324_JCC411_July2024_B1_MockZ22RIP-2_S1_L002_R2_001.fastq.gz,reverse
3162324+HT-29_mock_Z22-RIP_2,fastq/3162324_JCC411_July2024_B1_MockZ22RIP-2_S108_L007_R1_001.fastq.gz,fastq/3162324_JCC411_July2024_B1_MockZ22RIP-2_S108_L007_R2_001.fastq.gz,reverse
3162324+HT-29_mock_Z22-RIP_2,fastq/3162324_JCC411_July2024_B1_MockZ22RIP-2_S108_L008_R1_001.fastq.gz,fastq/3162324_JCC411_July2024_B1_MockZ22RIP-2_S108_L008_R2_001.fastq.gz,reverse
3162325+HT-29_mock_Z22-RIP_3,fastq/3162325_JCC411_July2024_C1_MockZ22RIP-3_S109_L007_R1_001.fastq.gz,fastq/3162325_JCC411_July2024_C1_MockZ22RIP-3_S109_L007_R2_001.fastq.gz,reverse
3162325+HT-29_mock_Z22-RIP_3,fastq/3162325_JCC411_July2024_C1_MockZ22RIP-3_S109_L008_R1_001.fastq.gz,fastq/3162325_JCC411_July2024_C1_MockZ22RIP-3_S109_L008_R2_001.fastq.gz,reverse
3162325+HT-29_mock_Z22-RIP_3,fastq/3162325_JCC411_July2024_C1_MockZ22RIP-3_S2_L001_R1_001.fastq.gz,fastq/3162325_JCC411_July2024_C1_MockZ22RIP-3_S2_L001_R2_001.fastq.gz,reverse
3162325+HT-29_mock_Z22-RIP_3,fastq/3162325_JCC411_July2024_C1_MockZ22RIP-3_S2_L002_R1_001.fastq.gz,fastq/3162325_JCC411_July2024_C1_MockZ22RIP-3_S2_L002_R2_001.fastq.gz,reverse
3162326+HT-29_mock_Z22-RIP_4,fastq/3162326_JCC411_July2024_D1_MockZ22RIP-4_S110_L007_R1_001.fastq.gz,fastq/3162326_JCC411_July2024_D1_MockZ22RIP-4_S110_L007_R2_001.fastq.gz,reverse
3162326+HT-29_mock_Z22-RIP_4,fastq/3162326_JCC411_July2024_D1_MockZ22RIP-4_S110_L008_R1_001.fastq.gz,fastq/3162326_JCC411_July2024_D1_MockZ22RIP-4_S110_L008_R2_001.fastq.gz,reverse
3162326+HT-29_mock_Z22-RIP_4,fastq/3162326_JCC411_July2024_D1_MockZ22RIP-4_S3_L001_R1_001.fastq.gz,fastq/3162326_JCC411_July2024_D1_MockZ22RIP-4_S3_L001_R2_001.fastq.gz,reverse
3162326+HT-29_mock_Z22-RIP_4,fastq/3162326_JCC411_July2024_D1_MockZ22RIP-4_S3_L002_R1_001.fastq.gz,fastq/3162326_JCC411_July2024_D1_MockZ22RIP-4_S3_L002_R2_001.fastq.gz,reverse
3162327+HT-29_HSV-1_Z22-RIP_1,fastq/3162327_JCC411_July2024_E1_HSV-1Z22RIP-1_S111_L007_R1_001.fastq.gz,fastq/3162327_JCC411_July2024_E1_HSV-1Z22RIP-1_S111_L007_R2_001.fastq.gz,reverse
3162327+HT-29_HSV-1_Z22-RIP_1,fastq/3162327_JCC411_July2024_E1_HSV-1Z22RIP-1_S111_L008_R1_001.fastq.gz,fastq/3162327_JCC411_July2024_E1_HSV-1Z22RIP-1_S111_L008_R2_001.fastq.gz,reverse
3162327+HT-29_HSV-1_Z22-RIP_1,fastq/3162327_JCC411_July2024_E1_HSV-1Z22RIP-1_S4_L001_R1_001.fastq.gz,fastq/3162327_JCC411_July2024_E1_HSV-1Z22RIP-1_S4_L001_R2_001.fastq.gz,reverse
3162327+HT-29_HSV-1_Z22-RIP_1,fastq/3162327_JCC411_July2024_E1_HSV-1Z22RIP-1_S4_L002_R1_001.fastq.gz,fastq/3162327_JCC411_July2024_E1_HSV-1Z22RIP-1_S4_L002_R2_001.fastq.gz,reverse
3162328+HT-29_HSV-1_Z22-RIP_2,fastq/3162328_JCC411_July2024_F1_HSV-1Z22RIP-2_S112_L007_R1_001.fastq.gz,fastq/3162328_JCC411_July2024_F1_HSV-1Z22RIP-2_S112_L007_R2_001.fastq.gz,reverse
3162328+HT-29_HSV-1_Z22-RIP_2,fastq/3162328_JCC411_July2024_F1_HSV-1Z22RIP-2_S112_L008_R1_001.fastq.gz,fastq/3162328_JCC411_July2024_F1_HSV-1Z22RIP-2_S112_L008_R2_001.fastq.gz,reverse
3162328+HT-29_HSV-1_Z22-RIP_2,fastq/3162328_JCC411_July2024_F1_HSV-1Z22RIP-2_S5_L001_R1_001.fastq.gz,fastq/3162328_JCC411_July2024_F1_HSV-1Z22RIP-2_S5_L001_R2_001.fastq.gz,reverse
3162328+HT-29_HSV-1_Z22-RIP_2,fastq/3162328_JCC411_July2024_F1_HSV-1Z22RIP-2_S5_L002_R1_001.fastq.gz,fastq/3162328_JCC411_July2024_F1_HSV-1Z22RIP-2_S5_L002_R2_001.fastq.gz,reverse
